id,isolate,region,year,NEIS0408(pilQ),NEIS0414,NEIS1753(PenA),NEIS2020(porB),NEIS2357
140560,17MUS_AH121_S96,Gauteng,2017,251,13,228,,3
140561,17MUS_AH117_S95,Gauteng Province,2017,23,377,166,,0
140562,18MUS_AH145_S102,Gauteng Province,2018,,13,3513,,0
140563,18MUS_AH147_S103,Gauteng Province,2018,251,13,228,,3
140564,18MUS_KH083_S97,Western Cape,2018,,8,3514,,0
140565,18MUS_KM012_S99,Northern Cape,2018,,8,515,,
140566,18MUS_KM013_S80,Northern Cape,2018,,8,3515,,0
140567,18MUS_KM016_S100,Northern Cape,2018,,8,17,,0
140568,18MUS_KM021_S81,Northern Cape,2018,618,13,294,,0
140569,18MUS_KM070_S101,Northern Cape,2018,19,8,17,,0
140570,18MUS_KM071_S82,Northern Cape,2018,1399,8,294,,0
140571,18MUS_ZW085_S98,Eastern Cape,2018,,13,228,,3
140572,19MUS_AH073_S104,Gauteng Province,2019,22,8,538,,0
140573,19MUS_AH108_S105,Gauteng Province,2019,22,8,23,,3
140574,19MUS_AH110_S83,Gauteng Province,2019,621,13,23,,0
140575,19MUS_AH122_S106,Gauteng Province,2019,184,13,20,,0
140576,19MUS_AH166_S107,Gauteng Province,2019,251,13,228,6298,0
140577,20MUS_AH027_S84,Gauteng Province,2020,,8,228,,3
140578,20MUS_AH028_S108,Gauteng Province,2020,333,13,285,,0
140579,20MUS_AH030_S85,Gauteng Province,2020,,8,166,,0
140580,20MUS_AH032_S109,Gauteng Province,2020,,8,166,,2
140581,20MUS_AH0138_S110,Gauteng Province,2020,333,13,285,5273,121
140582,20MUS_CZ054_S86,KwaZulu Natal,2020,,8,294,878,0
140583,20MUS_CZ055_S111,KwaZulu Natal,2020,22,8,23,,3
140584,21MUS_AH020_S112,Gauteng Province,2021,251,13,228,,3
140585,21MUS_AH021_S113,Gauteng Province,2021,1399,8,166,,117
140586,21MUS_AH104_S114,Gauteng Province,2021,619,8,166,,3
140587,21MUS_AH105_S87,Gauteng Province,2021,2759,8,294,699,3
140588,21MUS_AH110_S115,Gauteng Province,2021,22,8,23,3894,3
140589,21MUS_AH111_S88,Gauteng Province,2021,,8,166,,0
140590,21MUS_AH124_S116,Gauteng Province,2021,22,8,23,,
