id,isolate,country,year,azithromycin_mic,23S_rRNA,NEIS0133,NEIS1633,NEIS1634,NEIS1635,pro_NEIS1635,private_record,private_owner
14816,A2767,Greece,2007,,,,,,,,false,
14817,A2677,Greece,2006,,,,,,,,false,
14818,A2761,Greece,2007,,,,,,,,false,
14820,A2409,Greece,2004,,,,,,,,false,
14821,A2439,Greece,2004,,,,,,,,false,
14822,T7174,Greece,2004,,,,,,,,false,
14823,A2729,Greece,2006,,,,,,,,false,
14824,A2578,Greece,2005,,,,,,,,false,
14825,T5953,Greece,1998,,,,,,,,false,
14826,A1812,Greece,1998,,,,,,,,false,
14827,A2818,Greece,2007,,,,,,,,false,
14829,A2408,Greece,2004,,,,,,,,false,
14830,LG0190,UK [England],2004,,,,,,,,false,
14831,LG0225,UK [England],2004,,,,,,,,false,
14832,LG0244,UK [England],2004,,,,,,,,false,
14833,LG0254,UK [England],2004,,,,,,,,false,
14834,LG0442,UK [England],2004,,,,,,,,false,
14835,LG0667,UK [England],2004,,,,,,,,false,
14836,LG1505,UK [England],2004,,,,,,,,false,
14837,W0178,UK [England],2004,,,,,,,,false,
14838,W0903,UK [England],2004,,,,,,,,false,
14839,LG1068,UK [England],2004,,,,,,,,false,
14840,LG1893,UK [England],2004,,,,,,,,false,
14841,LG0591,UK [England],2004,,,,,,,,false,
14842,W0384,UK [England],2004,,,,,,,,false,
14843,W0240,UK [England],2004,,,,,,,,false,
14845,LG0793,UK [England],2004,,,,,,,,false,
14846,LG0992,UK [England],2004,,,,,,,,false,
14848,W0386,UK [England],2004,,,,,,,,false,
14849,LG0679,UK [England],2004,,,,,,,,false,
14850,W0562,UK [England],2004,,,,,,,,false,
14851,LG0856,UK [England],2004,,,,,,,,false,
14852,W0127,UK [England],2004,,,,,,,,false,
14853,LG1587,UK [England],2004,,,,,,,,false,
14854,W0819,UK [England],2004,,,,,,,,false,
14855,W0118,UK [England],2004,,,,,,,,false,
14856,W0465,UK [England],2004,,,,,,,,false,
14857,LG1511,UK [England],2004,,,,,,,,false,
14858,W0646,UK [England],2004,,,,,,,,false,
14859,W0103,UK [England],2004,,,,,,,,false,
14860,LG0202,UK [England],2004,,,,,,,,false,
14861,W0799,UK [England],2004,,,,,,,,false,
14863,LG0449,UK [England],2004,,,,,,,,false,
14864,LG0235,UK [England],2004,,,,,,,,false,
14865,LG0903,UK [England],2004,,,,,,,,false,
14866,LG0869,UK [England],2004,,,,,,,,false,
15655,MS11,USA,,,,,,,,,false,
15657,PID1,USA,,,,,,,,,false,
15659,PID18,USA,,,,,,,,,false,
15660,PID332,USA,,,,,,,,,false,
15661,35/02,USA,,,,,,,,,false,
15663,SK-92-679,USA,,,,,,,,,false,
15668,SK-93-1035,USA,,,,,,,,,false,
15696,WUE4314,Germany,2010,,,,,,,,false,
15698,DGI2,USA,,,10,113,18,13,15,6,false,
15700,1291,USA,,,,,,,,,false,
15710,PID334,USA,,,,,,,,,false,
15935,PID24,USA,,,155,102,20,16,17,6,false,
15936,DGI18,USA,,,155,102,20,16,17,6,false,
17717,LNP24871,France,2008,,,,,,,,false,
18352,Thai_011,Thailand,,,,,,,,,false,
18353,Thai_115,Thailand,,,,,,,,,false,
18354,Thai_138,Thailand,,,,,,,,,false,
18355,Thai_094,Thailand,,,,,,,,,false,
18356,Thai_003,Thailand,,,,,,,,,false,
18357,Thai_079,Thailand,,,,,,,,,false,
18358,Thai_038,Thailand,,,,,,,,,false,
18359,Thai_050,Thailand,,,,,,,,,false,
18360,Thai_041,Thailand,,,,,,,,,false,
18361,Thai_090,Thailand,,,,,,,,,false,
18362,Thai_098,Thailand,,,,,,,,,false,
18531,26191,France,2011,,,,,,,,false,
19050,FUAM 6 B+ WAF,Brazil,2008,,,,,,,,false,
19073,FUAM 95 B+ WAF,Brazil,,,,,,,,,false,
19075,FUAM 86 B+ WAF,Brazil,,,,,,,,,false,
19076,FUAM 71 B+ WAF,Brazil,,,,,,,,,false,
19111,FUAM 87 B+ WAF,Brazil,,,,,,,,,false,
19112,FUAM 90 B+ WAF,Brazil,,,,,,,,,false,
19114,FUAM 102 B+ WAF,Brazil,,,,,,,,,false,
19132,FUAM 20 B+ WAF,Brazil,,,,,,,,,false,
19134,AUSMDU-NG-2012-0001,Australia,2010,,,,,,,,false,
19135,AUSMDU-NG-2012-0002,Australia,,,,,,,,,false,
19136,AUSMDU-NG-2012-0003,Australia,2010,,,,,,,,false,
19137,AUSMDU-NG-2012-0004,Australia,2010,,,,,,,,false,
19138,AUSMDU-NG-2012-0005,Australia,2010,,,,,,,,false,
19267,26702,France,2012,,,,,,,,false,
20509,TCDC-NG09234,Taiwan,,,,,,,,,false,
20510,TCDC-NG09436,Taiwan,,,,,,,,,false,
20511,TCDC-NG11313,Taiwan,,,,,,,,,false,
20512,TCDC-NG11315,Taiwan,,,,,,,,,false,
20513,TCDC-NG12212,Taiwan,,,,,,,,,false,
20514,TCDC-NG11355,Taiwan,,,,,,,,,false,
21013,0010/13,Czech Republic,2013,,,,,,,,false,
21065,TCDC-NG08107,Unknown,2008,,10,102,16,11,12,3,false,
21066,PID18,Unknown,,,233,102,18,13,12,6,false,
21067,1291,Unknown,,,231,102,18,,12,3,false,
21068,PID1,Unknown,,,232,102,18,13,19,6,false,
21070,F62,Unknown,,,387,102,299,100,17,6,false,
21071,SK-92-679,Unknown,,,10,102,23,12,20,6,false,
21072,SK-93-1035,Unknown,,,235,102,17,12,16,6,false,
21073,PID332,Unknown,,,234,102,22,17,17,6,false,
21570,2009NG006,Taiwan,2009,,,,,,,,false,
26532,ITOH27,Japan,2011,,,,,,,,false,
26533,FC007,Japan,2011,,,,,,,,false,
26534,FC061,Japan,2011,,,,,,,,false,
26535,HI019,Japan,2012,,,,,,,,false,
26827,12028_2010,Ireland,2010,,10,102,18,,12,3,false,
27090,S339,UK [England],1997,,457,102,167,100,12,6,false,
27091,S405,UK [England],1997,,457,102,167,100,12,6,false,
27092,S364,UK [England],1997,,457,102,167,100,12,6,false,
27093,S359,UK [England],1997,,457,102,167,100,12,6,false,
27094,S349,UK [England],1997,,457,102,167,100,12,6,false,
27095,S492,UK [England],1997,,457,102,167,100,12,6,false,
27096,S461,UK [England],1997,,457,102,167,100,12,6,false,
