id,country,year,azithromycin_mic_sign,cefixime_SIR,ceftriaxone_SIR,ciprofloxacin_SIR
131325,South Africa,2015,=,S,S,R
131326,South Africa,2015,=,S,S,S
131327,South Africa,2015,=,S,S,R
131328,South Africa,2015,=,S,S,R
131329,South Africa,2016,=,S,S,R
131330,South Africa,2016,=,S,S,S
131331,South Africa,2016,=,S,S,S
131332,South Africa,2016,=,S,S,R
131333,South Africa,2016,=,S,S,R
131334,South Africa,2016,=,S,S,R
131335,South Africa,2016,=,S,S,R
131336,South Africa,2016,=,S,S,R
131337,South Africa,2016,=,S,S,R
131338,South Africa,2016,=,S,S,R
131339,South Africa,2016,=,S,S,R
131340,South Africa,2016,=,S,S,S
131341,South Africa,2016,=,S,S,R
131342,South Africa,2016,=,S,S,R
131343,South Africa,2016,=,S,S,R
131344,South Africa,2016,=,S,S,R
131345,South Africa,2016,=,S,S,R
