,index,ID,LIN,Lineage,country,isolate,year,mydata,SA
206,207,95772,0_10_0_2_0_1_0_0_0_0_0,0_10_0,Ghana,GHA-ADB-088,2014.0,N,N
207,208,95773,,,Ghana,GHA-ADB-095,2014.0,N,N
208,209,95774,0_10_0_2_0_0_0_0_0_1_0,0_10_0,Ghana,GHA-ADB-099,2014.0,N,N
209,210,95775,0_0_39_0_0_0_0_0_0_0_0,0_0_39,Ghana,GHA-ADB-129,2014.0,N,N
210,211,95776,11_0_0_0_1_0_0_0_0_0_0,11_0_0,Ghana,GHA-ADB-135,2014.0,N,N
211,212,95777,0_0_33_46_10_0_0_0_0_0_0,0_0_33,Ghana,GHA-ADB-191,2015.0,N,N
212,213,95778,1_1_27_4_0_0_0_0_0_0_0,1_1_27,Ghana,GHA-ADB-216,2015.0,N,N
213,214,95779,0_2_0_1_197_0_0_0_0_0_0,0_2_0,Ghana,GHA-ADB-230,2015.0,N,N
214,215,95780,,,Ghana,GHA-ARM-046,2013.0,N,N
215,216,95781,0_0_38_0_0_0_0_0_0_0_0,0_0_38,Ghana,GHA-ARM-069,2013.0,N,N
216,217,95782,0_0_38_0_0_0_0_0_1_0_0,0_0_38,Ghana,GHA-ARM-073,2013.0,N,N
217,218,95783,0_10_0_2_0_0_0_0_1_0_0,0_10_0,Ghana,GHA-ARM-106,2014.0,N,N
218,219,95784,0_2_13_0_0_0_0_0_0_0_0,0_2_13,Ghana,GHA-ARM-127,2014.0,N,N
219,220,95785,0_10_0_2_0_0_1_0_0_0_0,0_10_0,Ghana,GHA-ARM-163,2015.0,N,N
220,221,95786,0_10_0_2_0_0_1_0_0_0_0,0_10_0,Ghana,GHA-ARM-165,2015.0,N,N
221,222,95787,0_10_0_2_0_0_0_0_1_0_0,0_10_0,Ghana,GHA-NAV-029,2019.0,N,N
222,223,95788,0_10_0_2_0_0_0_0_1_0_0,0_10_0,Ghana,GHA-NAV-031,2019.0,N,N
223,224,95789,0_0_33_46_11_0_0_0_0_0_0,0_0_33,Ghana,GHA-NAV-040,2014.0,N,N
224,225,95790,1_1_15_1_0_0_0_0_0_0_0,1_1_15,Ghana,GHA-TMH-040,2012.0,N,N
225,226,95791,0_0_18_7_0_0_0_0_1_0_0,0_0_18,Ghana,GHA-TMH-042,2012.0,N,N
226,227,95792,0_0_18_7_3_0_0_0_0_0_0,0_0_18,Ghana,GHA-TMH-050,2012.0,N,N
227,228,95793,0_0_18_7_1_0_0_0_0_0_0,0_0_18,Ghana,GHA-TMH-067,2012.0,N,N
228,229,95794,0_10_0_2_0_0_0_0_0_0_0,0_10_0,Ghana,GHA-TMH-068,2012.0,N,N
229,230,95795,0_0_18_7_0_0_0_0_0_0_0,0_0_18,Ghana,GHA-TMH-074,2012.0,N,N
230,231,95796,0_0_18_7_2_0_0_0_0_0_0,0_0_18,Ghana,GHA-TMH-455,2015.0,N,N
231,232,95797,0_12_6_0_0_1_0_0_0_0_0,0_12_6,Ghana,GHA-TMH-458,2015.0,N,N
232,233,95798,0_12_6_0_0_0_0_0_0_0_0,0_12_6,Ghana,GHA-TMH-462,2015.0,N,N
233,234,95799,0_0_11_0_0_0_0_0_0_0_0,0_0_11,Ghana,GHA-TMH-465,2015.0,N,N
234,235,95800,0_0_18_7_4_0_0_0_0_0_0,0_0_18,Ghana,GHA-TMH-484,2015.0,N,N
235,236,95801,0_0_18_7_9_0_0_0_0_0_0,0_0_18,Ghana,GHA-TMH-537,2015.0,N,N
236,237,95802,0_0_11_1_0_2_0_0_0_0_0,0_0_11,Ghana,GHA-ADB-284,2018.0,N,N
237,238,95803,0_0_11_1_0_3_0_0_0_0_0,0_0_11,Ghana,GHA-ADB-297,2018.0,N,N
238,239,95804,0_16_0_5_0_0_0_0_0_0_0,0_16_0,Ghana,GHA-ADB-340,2019.0,N,N
239,240,95805,11_0_0_1_0_0_0_0_0_0_0,11_0_0,Ghana,GHA-ADB-342,2019.0,N,N
240,241,95806,0_0_11_1_3_0_0_0_0_0_0,0_0_11,Ghana,GHA-ADB-347,2019.0,N,N
241,242,95807,0_0_11_1_1_0_0_0_0_0_0,0_0_11,Ghana,GHA-ADB-348,2019.0,N,N
242,243,95808,0_2_21_0_1_0_0_0_0_0_0,0_2_21,Ghana,GHA-ADB-360,2019.0,N,N
243,244,95809,0_12_6_0_1_0_0_0_0_0_0,0_12_6,Ghana,GHA-ADB-369,2019.0,N,N
244,245,95810,,,Ghana,GHA-AIR-053,2019.0,N,N
245,246,95811,0_0_33_12_12_0_0_0_0_0_0,0_0_33,Ghana,GHA-AIR-057,2019.0,N,N
246,247,95812,0_0_33_12_9_0_0_0_0_0_0,0_0_33,Ghana,GHA-AIR-058,2019.0,N,N
247,248,95813,0_12_6_0_0_2_0_0_0_0_0,0_12_6,Ghana,GHA-ARM-233,2018.0,N,N
248,249,95814,0_0_11_1_0_1_0_0_0_0_0,0_0_11,Ghana,GHA-ARM-285,2019.0,N,N
249,250,95815,0_0_11_1_0_4_0_0_0_0_0,0_0_11,Ghana,GHA-ARM-288,2019.0,N,N
250,251,95816,0_0_11_1_2_0_0_0_0_0_0,0_0_11,Ghana,GHA-ARM-299,2019.0,N,N
251,252,95817,0_0_33_12_5_1_0_0_0_0_0,0_0_33,Ghana,GHA-TMH-588,2018.0,N,N
252,253,95818,0_2_13_0_1_0_0_0_0_0_0,0_2_13,Ghana,GHA-TMH-594,2018.0,N,N
253,254,95819,0_0_33_12_6_0_0_0_0_0_0,0_0_33,Ghana,GHA-TMH-612,2018.0,N,N
254,255,95820,0_2_13_0_0_1_0_0_0_0_0,0_2_13,Ghana,GHA-TMH-619,2018.0,N,N
255,256,95821,0_0_11_1_0_0_0_0_0_0_0,0_0_11,Ghana,GHA-TMH-624,2018.0,N,N
256,257,96169,0_0_25_2_0_0_0_0_0_0_0,0_0_25,South Africa,R3,2013.0,N,other_SA
257,258,96170,1_1_17_4_3_0_0_0_0_0_0,1_1_17,South Africa,R6,2013.0,N,other_SA
